"""terminfo"",""terminfo"",""terminfo"",""terminfo"",""date"",""time"",""place"""
"Predmet,""Tip"",""Nastavnik"",""Grupe"",""Dan"",""Termin"",""U?ionica"""
"Poslovne aplikacije,""V"",""Mijatovic Igor"",""101"",""     UTO     "",""11:15-13"",""Raf04 (u)"""
"Uvod u programiranje,""D"",""Brnabic Mateja"",""101"",""      PON      "",""13:15-15"",""Rg07 (u)"""
"Uvod u programiranje,""V"",""Tomic Milan"",""101"",""     UTO     "",""13:15-15"",""Raf02 (u)"""
"Diskretne strukture,""V"",""Jeremic Adrijana"",""101; 102; 103"",""     UTO     "",""17:15-20"",""Raf21 (a)"""
"Diskretne strukture,""P"",""Jovanovic Irena"",""101; 102; 103"",""    SRE    "",""16:15-18"",""Raf06 (a)"""
"Engleski 1,""P"",""Cuk Bojana"",""101; 102; 103"",""     UTO     "",""15:15-17"",""Raf21 (a)"""
"Linearna algebra i analiticka geometrija,""P"",""Jovanovic Jelena"",""101; 102; 103"",""    SRE    "",""18:15-21"",""Raf20 (a)"""
"Linearna algebra i analiticka geometrija,""V"",""Jovanovic Jelena"",""101; 102; 103"",""   ?ET   "",""18:15-21"",""Raf20 (a)"""
"Uvod u programiranje,""P"",""Urosevic Dragan"",""101; 102; 103"",""      PON      "",""11:15-13"",""Kolarac2"""
"Poslovne aplikacije,""V"",""Mijatovic Igor"",""102"",""      PON      "",""13:15-15"",""Raf04 (u)"""
"Uvod u programiranje,""D"",""Brnabic Mateja"",""102"",""      PON      "",""15:15-17"",""Rg07 (u)"""
"Uvod u programiranje,""V"",""Tomic Milan"",""102"",""   ?ET   "",""15:15-17"",""Raf04 (u)"""
"Poslovne aplikacije,""V"",""Mijatovic Igor"",""103"",""   ?ET   "",""13:15-15"",""Raf04 (u)"""
"Uvod u programiranje,""D"",""Matovic Vanja"",""103"",""   ?ET   "",""15:15-17"",""Raf07 (u)"""
"Uvod u programiranje,""V"",""Tomic Milan"",""103"",""      PON      "",""14:15-16"",""Raf07 (u)"""
"Poslovne aplikacije,""V"",""Mijatovic Igor"",""104"",""      PON      "",""15:15-17"",""Raf04 (u)"""
"Uvod u programiranje,""D"",""Matovic Vanja"",""104"",""    SRE    "",""10:15-12"",""Raf05 (u)"""
"Uvod u programiranje,""V"",""Jovanovic Mladen"",""104"",""    SRE    "",""12:15-14"",""Raf05 (u)"""
"Linearna algebra i analiticka geometrija,""P"",""Gardasevic Filipovic Milanka"",""104;105"",""    SRE    "",""16:15-19"",""Kolarac3"""
"Diskretne strukture,""P"",""Jovanovic Irena"",""104; 105; 106"",""     UTO     "",""15:15-17"",""Raf20 (a)"""
"Diskretne strukture,""V"",""Jeremic Adrijana"",""104; 105; 106"",""  PET  "",""18:15-21"",""Raf20 (a)"""
"Uvod u programiranje,""P"",""Mladenovic Marko"",""104; 105; 106"",""   ?ET   "",""13:15-15"",""Raf21 (a)"""
"Linearna algebra i analiticka geometrija,""V"",""Jerotijevic Marija"",""104; 107; 112"",""     UTO     "",""17:15-20"",""Kolarac3"""
"Engleski 1,""P"",""Cuk Bojana"",""104; 112"",""      PON      "",""17:15-19"",""Raf11 (a)"""
"Poslovne aplikacije,""V"",""Mijatovic Igor"",""105"",""   ?ET   "",""11:15-13"",""Raf04 (u)"""
"Uvod u programiranje,""D"",""Stojanovic Mihajlo"",""105"",""     UTO     "",""18:15-20"",""Raf02 (u)"""
"Uvod u programiranje,""V"",""Jovanovic Mladen"",""105"",""     UTO     "",""13:15-15"",""Rg07 (u)"""
"Linearna algebra i analiticka geometrija,""V"",""Jerotijevic Marija"",""105; 106"",""  PET  "",""15:15-18"",""Raf20 (a)"""
"Poslovne aplikacije,""V"",""Mijatovic Igor"",""106"",""    SRE    "",""13:15-15"",""Raf04 (u)"""
"Uvod u programiranje,""D"",""Stojanovic Mihajlo"",""106"",""   ?ET   "",""15:15-17"",""Rg02 (u)"""
"Uvod u programiranje,""V"",""Jovanovic Mladen"",""106"",""    SRE    "",""10:15-12"",""Raf07 (u)"""
"Engleski 1,""P"",""Cuk Bojana"",""106; 107"",""     UTO     "",""13:15-15"",""Kolarac3"""
"Linearna algebra i analiticka geometrija,""P"",""Gardasevic Filipovic Milanka"",""106; 108"",""      PON      "",""17:15-20"",""Raf20 (a)"""
"Poslovne aplikacije,""V"",""Mijatovic Igor"",""107"",""      PON      "",""11:15-13"",""Raf04 (u)"""
"Uvod u programiranje,""D"",""Dejanovic Lazar"",""107"",""  PET  "",""18:15-20"",""Raf04 (u)"""
"Uvod u programiranje,""V"",""Najdic Jefimija"",""107"",""      PON      "",""09:15-11"",""Raf05 (u)"""
"Diskretne strukture,""P"",""Jovanovic Irena"",""107; 108; 109"",""    SRE    "",""13:15-15"",""Raf21 (a)"""
"Diskretne strukture,""V"",""Jeremic Adrijana"",""107; 108; 109"",""  PET  "",""15:15-18"",""Raf21 (a)"""
"Uvod u programiranje,""P"",""Mladenovic Marko"",""107; 108; 109"",""   ?ET   "",""16:15-18"",""Raf20 (a)"""
"Linearna algebra i analiticka geometrija,""P"",""Gardasevic Filipovic Milanka"",""107; 109; 110"",""   ?ET   "",""13:15-16"",""Raf20 (a)"""
"Poslovne aplikacije,""V"",""Mijatovic Igor"",""108"",""     UTO     "",""13:15-15"",""Raf04 (u)"""
"Uvod u programiranje,""D"",""Dejanovic Lazar"",""108"",""   ?ET   "",""18:15-20"",""Raf07 (u)"""
"Uvod u programiranje,""V"",""Najdic Jefimija"",""108"",""     UTO     "",""11:15-13"",""Rg07 (u)"""
"Engleski 1,""P"",""Cuk Bojana"",""108; 109"",""  PET  "",""10:15-12"",""Raf21 (a)"""
"Linearna algebra i analiticka geometrija,""V"",""Jerotijevic Marija"",""108; 109"",""  PET  "",""12:15-15"",""Raf21 (a)"""
"Poslovne aplikacije,""V"",""Mijatovic Igor"",""109"",""    SRE    "",""11:15-13"",""Raf04 (u)"""
"Uvod u programiranje,""D"",""Arsenovic Arsen"",""109"",""     UTO     "",""17:15-19"",""Raf03 (u)"""
"Uvod u programiranje,""V"",""Redzic Nikola Jovan"",""109"",""     UTO     "",""19:15-21"",""Raf03 (u)"""
